Khwopa Engineering College, Libali, Bhaktapur
Khwopa College of Engineering, Libali, Bhaktapur
Nepal Engineering College, Changunarayan, Bhaktapur
Bhaktapur Multiple Campus, Doodhpati-17, Bhaktapur
Sambriddhi College, Lokanthali-16, Bhaktapur
Swastik College, Madhyapur Thimi-3, Bhaktapur
Kathmandu College of Technology, Lokanthali, Bhaktapur
SeaBird International College, Madhyapur Thimi, Bhaktapur 
Janapremi College, Kaushaltar, Bhaktapur  
Bagiswori College, Kamalbinayak, Bhaktapur
Kathmandu World School, Suryabinayak, Bhaktapur 
ISMT College, Tinkune, Kathmandu  
Deerwalk Institute of Technology, Sifal, Kathmandu
The British College, Thapathali, Kathmandu
Herald College Kathmandu, Bishalnagar, Kathmandu 
Softwarica College, Dillibazar, Kathmandu 
Prime College, Nayabazar, Kathmandu 
New Summit College, Shantinagar, Kathmandu 
NAMI College, Jorpati, Kathmandu 
Islington College, Kamal Pokhari, Kathmandu 
Texas International College, Chabahil, Kathmandu
Padmakanya Multiple Campus, Bagbazar, Kathmandu 
St. Xavier's College, Maitighar, Kathmandu 
