Khwopa Engineering College, Libali, Bhaktapur
Khwopa College of Engineering, Libali, Bhaktapur
Nepal Engineering College, Changunarayan, Bhaktapur
Bhaktapur Multiple Campus, Doodhpati-17, Bhaktapur
Sambriddhi College, Lokanthali-16, Bhaktapur
Swastik College, Madhyapur Thimi-3, Bhaktapur
Kathmandu College of Technology, Lokanthali, Bhaktapur
ISMT College, Tinkune, Kathmandu  
Deerwalk Institute of Technology, Sifal, Kathmandu
The British College, Thapathali, Kathmandu
Herald College Kathmandu, Bishalnagar, Kathmandu 
Softwarica College, Dillibazar, Kathmandu 
Prime College, Nayabazar, Kathmandu 
New Summit College, Shantinagar, Kathmandu 
NAMI College, Jorpati, Kathmandu 
Islington College, Kamal Pokhari, Kathmandu 
Texas International College, Chabahil, Kathmandu
Padmakanya Multiple Campus, Bagbazar, Kathmandu 
St. Xavier's College, Maitighar, Kathmandu 
Patan Multiple Campus, Patan, Lalitpur
Nepal College of IT, Balkumari Rd, Lalitpur
Himalayan Engineering College, Chyasal-9, Lalitpur
Asian Institute of Technology & Management, Satdobato, Lalitpur
KathFord College, Balkumari, Lalitpur
Patan College for Professional Studies, Kupondole, Lalitpur
Sagarmatha Engineering College, Sanepa, Lalitpur
Academia International College, Gwarko, Lalitpur
DAV College, Balkumari, Lalitpur
Nagarjun College, Bangalamukhi-Sankhamul Rd, Lalitpur
Vedas College, Jawalakhel, Lalitpur
Virinchi College, Kumaripati, Lalitpur
Asian College of Higher Studies, Ekantakuna Rd, Lalitpur
Lalitpur Engineering Campus, Patan-Dhoka, Lalitpur
Nepal Banepa Polytechnic Institute, Banepa-2, Kavre
Tej Ganga Multiple Campus, Panauti, Kavre

