SeaBird International College, Madhyapur Thimi, Bhaktapur 
Janapremi College, Kaushaltar, Bhaktapur  
Bagiswori College, Kamalbinayak, Bhaktapur
Kathmandu World School, Suryabinayak, Bhaktapur 
Padmakanya Multiple Campus, Bagbazar, Kathmandu 
St. Xavier's College, Maitighar, Kathmandu 
Shree Shreekhandapur Secondary School, Dhulikhel, Kavre
Sanjiwani Higher Secondary School, Dhulikhel, Kavre
Dhulikhel Campus, Dhulikhel, Kavre
Bal Batika Vidhya Mandir, Tindobato, Banepa
Baylor International Academy, Banepa-10, Kavre
Adarsha Bidya Mandir School, Banepa-11, Kavre
Nightingale Academy, Banepa-10, Kavre
Kabhre Multiple Campus, Budol, Banepa
NIST College, Banepa-9, Kavre
Siddhartha College, Banepa-8, Kavre
Malpi International School, Panauti, Kavre
Indreshwor Secondary School, Panauti, Kavre
SOS Children Village, Panauti, Kavre
Siddhartha Vanasthali Institute, Panauti, Kavre
